Time (UTC+10),Regions VIC Trading Price ($/MWh),Regions VIC Trading Total Intermittent Generation (MW),Regions VIC Operational Demand (MW),Time,Hour,Day
2018-01-02 21:30:00,66.61,203.63,4685,21:30:00,21,2
2018-01-02 22:00:00,60.58,211.24,4522,22:00:00,22,2
2018-01-02 22:30:00,63.89,195.81,4448,22:30:00,22,2
2018-01-02 23:00:00,62.97,157.88,4379,23:00:00,23,2
2018-01-02 23:30:00,65.81,176.0,4616,23:30:00,23,2
2018-01-03 00:00:00,66.02,189.55,4624,00:00:00,0,3
2018-01-03 00:30:00,59.33,151.35,4444,00:30:00,0,3
2018-01-03 01:00:00,55.01,162.32,4296,01:00:00,1,3
2018-01-03 01:30:00,46.83,181.14,4185,01:30:00,1,3
2018-01-03 02:00:00,46.92,199.27,4061,02:00:00,2,3
2018-01-03 02:30:00,49.74,208.08,3960,02:30:00,2,3
2018-01-03 03:00:00,49.37,205.66,3884,03:00:00,3,3
2018-01-03 03:30:00,50.99,211.32,3879,03:30:00,3,3
2018-01-03 04:00:00,52.0,184.68,3930,04:00:00,4,3
2018-01-03 04:30:00,54.33,165.97,3995,04:30:00,4,3
2018-01-03 05:00:00,55.38,163.18,4088,05:00:00,5,3
2018-01-03 05:30:00,62.36,139.23,4235,05:30:00,5,3
2018-01-03 06:00:00,63.41,119.52,4370,06:00:00,6,3
2018-01-03 06:30:00,67.53,102.34,4551,06:30:00,6,3
2018-01-03 07:00:00,69.86,100.7,4701,07:00:00,7,3
2018-01-03 07:30:00,71.44,122.8,4683,07:30:00,7,3
2018-01-03 08:00:00,71.0,125.26,4712,08:00:00,8,3
2018-01-03 08:30:00,72.51,129.63,4731,08:30:00,8,3
2018-01-03 09:00:00,73.81,125.08,4732,09:00:00,9,3
2018-01-03 09:30:00,74.1,94.53,4747,09:30:00,9,3
2018-01-03 10:00:00,73.46,108.49,4694,10:00:00,10,3
2018-01-03 10:30:00,71.7,87.84,4683,10:30:00,10,3
2018-01-03 11:00:00,75.72,52.16,4705,11:00:00,11,3
2018-01-03 11:30:00,73.89,51.23,4708,11:30:00,11,3
2018-01-03 12:00:00,76.72,72.5,4633,12:00:00,12,3
2018-01-03 12:30:00,73.1,90.42,4588,12:30:00,12,3
2018-01-03 13:00:00,72.73,84.91,4604,13:00:00,13,3
2018-01-03 13:30:00,72.04,97.55,4574,13:30:00,13,3
2018-01-03 14:00:00,76.79,105.76,4618,14:00:00,14,3
2018-01-03 14:30:00,73.56,105.92,4595,14:30:00,14,3
2018-01-03 15:00:00,74.14,108.6,4677,15:00:00,15,3
2018-01-03 15:30:00,70.81,132.44,4741,15:30:00,15,3
2018-01-03 16:00:00,72.27,151.1,4889,16:00:00,16,3
2018-01-03 16:30:00,70.84,170.68,5003,16:30:00,16,3
2018-01-03 17:00:00,71.56,186.79,5083,17:00:00,17,3
2018-01-03 17:30:00,69.83,196.44,5065,17:30:00,17,3
2018-01-03 18:00:00,66.88,215.15,5046,18:00:00,18,3
2018-01-03 18:30:00,73.66,220.42,5021,18:30:00,18,3
2018-01-03 19:00:00,76.22,225.26,4966,19:00:00,19,3
2018-01-03 19:30:00,77.83,217.14,4882,19:30:00,19,3
2018-01-03 20:00:00,71.99,202.56,4850,20:00:00,20,3
2018-01-03 20:30:00,66.75,164.32,4861,20:30:00,20,3
2018-01-03 21:00:00,63.98,146.14,4800,21:00:00,21,3
2018-01-03 21:30:00,63.74,132.48,4726,21:30:00,21,3
2018-01-03 22:00:00,62.66,105.89,4554,22:00:00,22,3
2018-01-03 22:30:00,62.53,63.04,4484,22:30:00,22,3
2018-01-03 23:00:00,63.84,49.68,4431,23:00:00,23,3
2018-01-03 23:30:00,68.42,45.78,4653,23:30:00,23,3
2018-01-04 00:00:00,69.84,40.14,4622,00:00:00,0,4
2018-01-04 00:30:00,64.18,49.63,4456,00:30:00,0,4
2018-01-04 01:00:00,59.57,53.46,4286,01:00:00,1,4
2018-01-04 01:30:00,49.52,55.19,4182,01:30:00,1,4
2018-01-04 02:00:00,51.14,48.13,4066,02:00:00,2,4
2018-01-04 02:30:00,53.93,39.93,3940,02:30:00,2,4
2018-01-04 03:00:00,54.01,41.5,3899,03:00:00,3,4
2018-01-04 03:30:00,40.4,33.6,3866,03:30:00,3,4
2018-01-04 04:00:00,52.69,21.23,3896,04:00:00,4,4
2018-01-04 04:30:00,53.16,19.64,3970,04:30:00,4,4
2018-01-04 05:00:00,54.53,11.02,4075,05:00:00,5,4
2018-01-04 05:30:00,59.28,12.7,4241,05:30:00,5,4
2018-01-04 06:00:00,61.77,23.55,4386,06:00:00,6,4
2018-01-04 06:30:00,70.66,22.24,4617,06:30:00,6,4
2018-01-04 07:00:00,83.53,15.29,4745,07:00:00,7,4
2018-01-04 07:30:00,80.31,10.53,4703,07:30:00,7,4
2018-01-04 08:00:00,96.98,7.52,4718,08:00:00,8,4
2018-01-04 08:30:00,89.83,5.83,4728,08:30:00,8,4
2018-01-04 09:00:00,91.34,9.8,4729,09:00:00,9,4
2018-01-04 09:30:00,81.61,22.19,4755,09:30:00,9,4
2018-01-04 10:00:00,82.48,33.41,4764,10:00:00,10,4
2018-01-04 10:30:00,84.18,39.71,4757,10:30:00,10,4
2018-01-04 11:00:00,99.17,31.89,4813,11:00:00,11,4
2018-01-04 11:30:00,96.16,27.69,4822,11:30:00,11,4
2018-01-04 12:00:00,89.93,31.6,4884,12:00:00,12,4
2018-01-04 12:30:00,71.07,40.22,4905,12:30:00,12,4
2018-01-04 13:00:00,78.66,40.07,5005,13:00:00,13,4
2018-01-04 13:30:00,73.1,48.34,5032,13:30:00,13,4
2018-01-04 14:00:00,84.93,52.39,5076,14:00:00,14,4
2018-01-04 14:30:00,93.97,60.39,5159,14:30:00,14,4
2018-01-04 15:00:00,82.44,65.79,5252,15:00:00,15,4
2018-01-04 15:30:00,98.26,81.42,5377,15:30:00,15,4
2018-01-04 16:00:00,102.71,83.98,5521,16:00:00,16,4
2018-01-04 16:30:00,88.07,85.54,5600,16:30:00,16,4
2018-01-04 17:00:00,100.23,84.77,5702,17:00:00,17,4
2018-01-04 17:30:00,97.94,77.13,5687,17:30:00,17,4
2018-01-04 18:00:00,95.09,77.73,5648,18:00:00,18,4
2018-01-04 18:30:00,79.99,114.48,5542,18:30:00,18,4
2018-01-04 19:00:00,68.93,150.52,5408,19:00:00,19,4
2018-01-04 19:30:00,88.76,144.07,5310,19:30:00,19,4
2018-01-04 20:00:00,97.99,125.04,5247,20:00:00,20,4
2018-01-04 20:30:00,98.12,135.75,5176,20:30:00,20,4
2018-01-04 21:00:00,90.66,122.03,5074,21:00:00,21,4
2018-01-04 21:30:00,71.57,93.75,4898,21:30:00,21,4
2018-01-04 22:00:00,67.9,94.53,4729,22:00:00,22,4
2018-01-04 22:30:00,64.97,96.3,4626,22:30:00,22,4
2018-01-04 23:00:00,63.21,89.06,4543,23:00:00,23,4
2018-01-04 23:30:00,81.61,81.86,4736,23:30:00,23,4
2018-01-05 00:00:00,114.52,57.71,4727,00:00:00,0,5
2018-01-05 00:30:00,78.06,42.17,4501,00:30:00,0,5
2018-01-05 01:00:00,75.22,30.11,4371,01:00:00,1,5
2018-01-05 01:30:00,61.5,21.05,4262,01:30:00,1,5
2018-01-05 02:00:00,57.48,17.89,4147,02:00:00,2,5
2018-01-05 02:30:00,55.34,16.67,4067,02:30:00,2,5
2018-01-05 03:00:00,56.63,14.41,4018,03:00:00,3,5
2018-01-05 03:30:00,56.06,17.9,3976,03:30:00,3,5
2018-01-05 04:00:00,53.9,16.69,4002,04:00:00,4,5
2018-01-05 04:30:00,58.19,15.14,4089,04:30:00,4,5
2018-01-05 05:00:00,56.53,14.36,4145,05:00:00,5,5
2018-01-05 05:30:00,60.73,14.81,4328,05:30:00,5,5
2018-01-05 06:00:00,73.51,13.02,4458,06:00:00,6,5
2018-01-05 06:30:00,114.61,13.14,4643,06:30:00,6,5
2018-01-05 07:00:00,116.89,1.99,4795,07:00:00,7,5
2018-01-05 07:30:00,76.46,15.33,4775,07:30:00,7,5
2018-01-05 08:00:00,84.37,15.62,4901,08:00:00,8,5
2018-01-05 08:30:00,90.96,18.4,4948,08:30:00,8,5
2018-01-05 09:00:00,92.82,22.32,4964,09:00:00,9,5
2018-01-05 09:30:00,88.26,24.4,4995,09:30:00,9,5
2018-01-05 10:00:00,76.6,24.89,4973,10:00:00,10,5
2018-01-05 10:30:00,77.9,27.5,5042,10:30:00,10,5
2018-01-05 11:00:00,74.84,30.74,5055,11:00:00,11,5
2018-01-05 11:30:00,83.97,29.11,5143,11:30:00,11,5
2018-01-05 12:00:00,97.11,28.5,5179,12:00:00,12,5
2018-01-05 12:30:00,113.38,23.07,5259,12:30:00,12,5
2018-01-05 13:00:00,90.12,30.95,5356,13:00:00,13,5
2018-01-05 13:30:00,100.31,49.17,5453,13:30:00,13,5
2018-01-05 14:00:00,97.01,65.38,5575,14:00:00,14,5
2018-01-05 14:30:00,115.06,50.5,5739,14:30:00,14,5
2018-01-05 15:00:00,95.8,68.78,5882,15:00:00,15,5
2018-01-05 15:30:00,98.74,70.24,6104,15:30:00,15,5
